Source, Target, Code
2224,381,12M
381,2300,12M
2300,138,12M
138,2416,12M
2416,1177,12M
1177,2305,12M
2305,1074,12M
1074,1363,12M
1363,114,12M
114,1116,12M
1116,1984,12M
1984,183,12M
183,557,12M
557,419,12M
419,1343,12M
1343,1806,12M
1806,1434,12M
1434,487,12M
487,1297,12M
1297,108,12M
108,16,12M
16,474,12M
474,206,12M
206,1204,12M
1204,507,12M
507,1546,12M
1546,1237,12M
1237,1802,12M
1802,1582,12M
1582,1117,12M
1117,594,12M
594,1797,12M
1797,32,12M
32,1796,13M
1796,1043,13M
1043,537,13M
537,1120,13M
1120,1581,13M
1581,1798,13M
1798,395,13M
395,293,13M
293,1071,13M
1071,668,13M
668,2126,13M
2126,1935,13M
1935,963,13M
963,633,13M
633,359,13M
359,678,13M
678,171,13M
171,1810,13M
1810,888,13M
888,1474,13M
1474,589,13M
589,267,13M
267,1136,13M
1136,1881,13M
1881,1782,13M
1782,869,13M
869,789,13M
789,656,13M
656,93,13M
93,65,13M
65,1527,13M
1527,1066,13M
1066,1330,13M
1330,2185,13M
2185,1381,13M
1381,1383,13M
1383,1666,13M
1666,1065,13M
1065,1760,13M
1760,1378,13M
1378,657,13M
657,790,13M
790,870,13M
870,1783,13M
1783,1882,13M
1882,1137,13M
1137,268,13M
268,1914,13M
1914,889,13M
889,1811,13M
1811,172,13M
172,679,13M
679,360,13M
360,632,13M
632,1936,13M
1936,2127,13M
2127,1495,13M
1495,420,13M
420,397,13M
397,1799,13M
1799,1582,13M
1582,1117,13M
1117,594,13M
594,1797,13M
1797,32,13M
538,537,19
537,1118,19
1118,1584,19
1584,847,19
847,1164,19
1164,1401,19
1401,319,19
319,1591,19
1591,836,19
836,1574,19
1574,929,19
929,785,19
785,567,19
567,1595,19
1597,568,19
568,786,19
786,932,19
932,1575,19
1575,837,19
837,1592,19
1592,320,19
320,1402,19
1402,1163,19
1163,846,19
846,1585,19
1585,2480,19
2480,538,19
115,2098,1M
2098,1499,1M
1499,1933,1M
1933,1489,1M
1489,125,1M
125,1460,1M
1460,1399,1M
1399,2156,1M
2156,794,1M
794,1236,1M
1236,1045,1M
1045,1724,1M
1724,906,1M
906,1211,1M
1211,1336,1M
1336,1722,1M
1722,933,1M
933,1677,1M
1677,1844,1M
1844,2364,1M
2364,1618,1M
1618,2383,1M
2383,1422,1M
1422,1727,1M
1727,1681,1M
1681,652,1M
652,1441,1M
1441,1108,1M
1108,2315,1M
2315,624,1M
624,1616,1M
1616,1614,1M
1614,2094,1M
2094,263,1M
263,1527,1M
1527,2095,1M
2095,1615,1M
1615,885,1M
885,625,1M
625,2316,1M
2316,1107,1M
1107,1442,1M
1442,653,1M
653,1682,1M
1682,1690,1M
1690,2215,1M
2215,1689,1M
1689,1423,1M
1423,2384,1M
2384,1619,1M
1619,2365,1M
2365,1843,1M
1843,1678,1M
1678,934,1M
934,1723,1M
1723,1337,1M
1337,1212,1M
1212,907,1M
907,1725,1M
1725,1046,1M
1046,1237,1M
1237,795,1M
795,2157,1M
2157,1400,1M
1400,1461,1M
1461,126,1M
126,1490,1M
1490,1934,1M
1934,1417,1M
1417,1498,1M
1498,2100,1M
2100,2123,1M
2123,34,1M
34,115,1M
334,1396,201
1396,1777,201
1777,1796,201
1796,1043,201
1043,537,201
537,1120,201
1120,1580,201
1580,1801,201
1801,1236,201
1236,1045,201
1045,1724,201
1724,906,201
906,1211,201
1211,1336,201
1336,1722,201
1722,933,201
933,1677,201
1677,1844,201
1844,2364,201
2364,1618,201
1618,2383,201
2383,1422,201
1422,1310,201
1310,654,201
654,1444,201
1444,902,201
902,1108,201
1108,2315,201
2315,622,201
622,2316,201
2316,1636,201
1636,903,201
903,1443,201
1443,1244,201
1244,655,201
655,1311,201
1311,776,201
776,1423,201
1423,2384,201
2384,1619,201
1619,2365,201
2365,1843,201
1843,1678,201
1678,934,201
934,1723,201
1723,1337,201
1337,1212,201
1212,907,201
907,1725,201
1725,1046,201
1046,1237,201
1237,1802,201
1802,1582,201
1582,1117,201
1117,596,201
596,1797,201
1797,0,201
0,2351,201
2351,1243,201
1243,334,201
2356,1796,202
1796,1043,202
1043,537,202
537,1120,202
1120,1581,202
1581,1798,202
1798,395,202
395,291,202
291,96,202
96,75,202
75,407,202
407,956,202
956,1693,202
1693,2230,202
2230,1750,202
1750,993,202
993,390,202
390,1270,202
1270,1810,202
1810,888,202
888,1474,202
1474,1173,202
1173,2445,202
2445,2443,202
2443,2444,202
2444,2441,202
2441,1174,202
1174,1476,202
1476,889,202
889,1811,202
1811,1271,202
1271,640,202
640,391,202
391,994,202
994,1751,202
1751,2231,202
2231,1694,202
1694,958,202
958,408,202
408,76,202
76,97,202
97,420,202
420,397,202
397,1799,202
1799,1582,202
1582,1117,202
1117,596,202
596,1797,202
1797,0,202
0,2356,202
34,2351,203
2351,1024,203
1024,1814,203
1814,921,203
921,723,203
723,1105,203
1105,418,203
418,293,203
293,1071,203
1071,668,203
668,2126,203
2126,51,203
51,2144,203
2144,2142,203
2142,47,203
47,369,203
369,392,203
392,994,203
994,53,203
53,1300,203
1300,1953,203
1953,1329,203
1329,1544,203
1544,1443,203
1443,1244,203
1244,655,203
655,1690,203
1690,1752,203
1752,1596,203
1596,2215,203
2215,1689,203
1689,803,203
803,1310,203
1310,654,203
654,1444,203
1444,1545,203
1545,1328,203
1328,1952,203
1952,1301,203
1301,54,203
54,993,203
993,393,203
393,370,203
370,48,203
48,2143,203
2143,2145,203
2145,52,203
52,1936,203
1936,2127,203
2127,1495,203
1495,294,203
294,417,203
417,1106,203
1106,1148,203
1148,483,203
483,1817,203
1817,2355,203
2355,32,203
32,34,203
1480,914,204
914,186,204
186,1701,204
1701,404,204
404,288,204
288,2196,204
2196,258,204
258,975,204
975,800,204
800,553,204
553,291,204
291,96,204
96,75,204
75,407,204
407,956,204
956,1693,204
1693,1019,204
1019,2228,204
2228,1213,204
1213,1862,204
1862,1803,204
1803,1422,204
1422,1310,204
1310,654,204
654,1444,204
1444,902,204
902,1108,204
1108,2315,204
2315,622,204
622,2316,204
2316,1636,204
1636,903,204
903,1443,204
1443,1244,204
1244,655,204
655,1311,204
1311,776,204
776,1423,204
1423,1804,204
1804,1863,204
1863,1214,204
1214,2232,204
2232,2229,204
2229,1020,204
1020,1694,204
1694,958,204
958,408,204
408,76,204
76,97,204
97,420,204
420,292,204
292,1071,204
1071,1563,204
1563,1494,204
1494,1516,204
1516,704,204
704,187,204
187,915,204
915,1478,204
1478,1480,204
1126,868,205
868,913,205
913,910,205
910,1440,205
1440,1579,205
1579,2082,205
2082,250,205
250,255,205
255,322,205
322,735,205
735,607,205
607,2424,205
2424,2278,205
2278,428,205
428,1535,205
1535,734,205
734,669,205
669,1495,205
1495,552,205
552,291,205
291,402,205
402,1801,205
1801,1236,205
1236,1045,205
1045,1724,205
1724,906,205
906,1211,205
1211,1336,205
1336,1722,205
1722,933,205
1175,125,3
125,1462,3
1462,448,3
448,1401,3
1401,319,3
319,1591,3
1591,836,3
836,1574,3
1574,929,3
929,785,3
785,567,3
567,1595,3
1597,568,3
568,786,3
786,932,3
932,1575,3
1575,837,3
837,1592,3
1592,320,3
320,1402,3
1402,449,3
449,1463,3
1463,127,3
127,1175,3
2396,609,108
609,1247,108
1247,485,108
485,289,108
289,301,108
